Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Mattia Vinante,M,SBD,Raw,,,,Senior,91.45,93,170,185,195,,195,130,137.5,142.5,,142.5,195,210,225,,225,562.5,77,360.83,356.24,341.19,74.19,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Terroni,M,SBD,Raw,25.5,24-34,24-39,Senior,86.23,93,185,195,205,,205,120,127.5,132.5,,132.5,215,227.5,-235,,227.5,565,76,373.53,368.98,354.31,76.73,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Francesco Toccafondi,M,SBD,Raw,36.5,35-39,24-39,Senior,92.88,93,175,-182.5,-182.5,,175,120,125,-130,,125,257.5,270,-280,,270,570,72,362.89,358.29,342.94,74.62,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Antonello Di Giuseppe,M,SBD,Raw,,,,Senior,87.34,93,185,195,205,,205,-120,125,130,,130,220,230,240,,240,575,71,377.57,372.89,357.86,77.59,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Serafini #1,M,SBD,Raw,26.5,24-34,24-39,Senior,88.36,93,200,210,217.5,,217.5,115,120,122.5,,122.5,235,245,-260,,245,585,67,381.83,377.04,361.65,78.48,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Spiga,M,SBD,Raw,29.5,24-34,24-39,Senior,89.8,93,210,220,-225,,220,130,-135,-135,,130,230,240,-250,,240,590,65,381.92,377.08,361.43,78.52,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Massimo Ziliani,M,SBD,Raw,25,24-34,24-39,Senior,86.4,93,200,210,217.5,,217.5,130,135,-140,,135,225,237.5,250,,250,602.5,61,397.90,393.04,377.38,81.74,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Domenico Cordone,M,SBD,Raw,26.5,24-34,24-39,Senior,85.65,93,205,217.5,225,,225,-142.5,-147.5,147.5,,147.5,220,235,-240,,235,607.5,60,403.08,398.23,382.51,82.78,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Stefano Gadler,M,SBD,Raw,24.5,24-34,24-39,Senior,91.91,93,205,215,222.5,,222.5,132.5,140,147.5,,147.5,242.5,255,265,,265,635,47,406.34,401.17,384.14,83.55,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Nicolo' Leder,M,SBD,Raw,,,,Senior,90.73,93,-180,192.5,-200,,192.5,142.5,-150,155,,155,262.5,275,290,,290,637.5,44,410.54,405.32,388.33,84.41,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Dario Lo Schiavo,M,SBD,Raw,,,,Senior,89.46,93,230,-237.5,-240,,230,132.5,137.5,142.5,,142.5,255,265,-275,,265,637.5,43,413.46,408.23,391.35,85.00,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Ettore Miranda,M,SBD,Raw,28.5,24-34,24-39,Senior,91.49,93,-245,245,-247.5,,245,140,-145,-145,,140,250,260,-275,,260,645,40,413.66,408.40,391.14,85.06,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo Tanganelli,M,SBD,Raw,23.5,24-34,24-39,Senior,92.28,93,207.5,217.5,225,,225,147.5,152.5,-157.5,,152.5,260,280,292.5,,292.5,670,26,427.89,422.46,404.46,87.98,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Antonio Fiorino,M,SBD,Raw,23.5,24-34,24-39,Senior,91.95,93,237.5,-250,262.5,,262.5,155,160,-170,,160,-247.5,247.5,260,,260,682.5,23,436.64,431.08,412.78,89.78,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luigi Giorgio Cerrato,M,SBD,Raw,26.5,24-34,24-39,Senior,91.52,93,260,262.5,267.5,,267.5,150,160,-170,,160,255,-270,275,,275,702.5,14,450.47,444.73,425.93,92.63,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Smrekar,M,SBD,Raw,32,24-34,24-39,Senior,89.63,93,240,252.5,262.5,,262.5,175,-180,180,,180,250,265,-270,,265,707.5,12,458.42,452.61,433.86,94.25,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Riccardo Vezzosi,M,SBD,Raw,30,24-34,24-39,Senior,74.03,83,135,145,-155,,145,85,90,95,,95,150,160,170,,170,410,67,296.62,294.83,285.04,60.18,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michele Rossi,M,SBD,Raw,24.5,24-34,24-39,Senior,75.19,83,135,147.5,160,,160,92.5,97.5,-102.5,,97.5,160,170,177.5,,177.5,435,66,311.58,309.42,298.94,63.34,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Lupo,M,SBD,Raw,,,,Senior,77.57,83,140,150,165,,165,90,97.5,102.5,,102.5,150,165,180,,180,447.5,65,314.35,311.66,300.70,64.12,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Bandera,M,SBD,Raw,32.5,24-34,24-39,Senior,82.26,83,160,165,172.5,,172.5,90,95,-97.5,,95,185,195,-205,,195,462.5,63,313.81,310.37,298.68,64.31,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Dario Bertozzi,M,SBD,Raw,,,,Senior,79.83,83,155,162.5,170,,170,125,130,-135,,130,170,-185,-185,,170,470,62,324.49,321.30,309.61,66.36,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Massimiliano Paino,M,SBD,Raw,24.5,24-34,24-39,Senior,77.19,83,170,182.5,192.5,,192.5,85,90,-92.5,,90,200,212.5,220,,220,502.5,55,354.05,351.11,338.83,72.18,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Cristian Anghel,M,SBD,Raw,,,,Senior,80.77,83,160,170,180,,180,117.5,122.5,125,,125,180,190,200,,200,505,54,346.27,342.70,330.06,70.88,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Sechi,M,SBD,Raw,24.5,24-34,24-39,Senior,79.77,83,170,175,185,,185,-120,120,-135,,120,190,200,-205,,200,505,53,348.81,345.39,332.84,71.33,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Boschi,M,SBD,Raw,,,,Senior,78.84,83,170,-185,185,,185,105,112.5,-120,,112.5,200,215,-222.5,,215,512.5,51,356.48,353.16,340.50,72.82,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Ronaldo Gabrielli,M,SBD,Raw,,,,Senior,82.83,83,175,185,195,,195,100,105,-107.5,,105,210,220,-230,,220,520,48,351.45,347.52,334.32,72.06,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Tommaso Iandelli,M,SBD,Raw,24.5,24-34,24-39,Senior,81.81,83,197.5,207.5,-215,,207.5,92.5,-97.5,-97.5,,92.5,212.5,222.5,-235,,222.5,522.5,47,355.63,351.80,338.63,72.86,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Elia Castelli Rivolta,M,SBD,Raw,24.5,24-34,24-39,Senior,76.05,83,180,182.5,187.5,,187.5,-110,110,112.5,,112.5,220,227.5,-232.5,,227.5,527.5,44,375.12,372.29,359.51,76.35,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Tiziano Bonizzoni,M,SBD,Raw,,,,Senior,80.25,83,170,180,190,,190,115,120,-125,,120,210,220,-230,,220,530,43,364.79,361.12,347.90,74.63,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
